title,note,url,tags,comment,source_list,status
Crunch - sandwich[up]rising,,https://www.google.com/maps/place/Crunch+-+sandwich%5Bup%5Drising/data=!4m2!3m1!1s0x487605514ffcd71b:0x726ad1fc9059863d,,,London,visited
Brat x Climpson's Arch,,https://www.google.com/maps/place/Brat+x+Climpson's+Arch/data=!4m2!3m1!1s0x48761dd50689a233:0xd7e85b76f70f8f98,,,London,visited
Mad Cats,,https://www.google.com/maps/place/Mad+Cats/data=!4m2!3m1!1s0x48761d075a3f37d5:0x29664a8094ef8b1b,,,London,visited
Josephine Bouchon - Chelsea,Buenísimo frances,https://www.google.com/maps/place/Josephine+Bouchon+-+Chelsea/data=!4m2!3m1!1s0x4876050049d1ec0d:0xe43cc0c98587981a,,,London,visited
District - Battersea Park,Lugar deli para trabajar ,https://www.google.com/maps/place/District+-+Battersea+Park/data=!4m2!3m1!1s0x487605270392b365:0x875cbc96eae973f7,,,London,visited
BookBar Chelsea,Libreria para leer o trabajar con cafesito muy agusto,https://www.google.com/maps/place/BookBar+Chelsea/data=!4m2!3m1!1s0x487605b4d11b3eef:0x128b3f1cc890087f,,,London,visited
New Forms,Bar y cafe muy agusto para platicar. El matcha esta deli! Tienen viniles y musica con audio muy pro,https://www.google.com/maps/place/New+Forms/data=!4m2!3m1!1s0x487605dd70c906c3:0xc032c01ca696e02c,,,London,visited
ACRE,Comida deli! El toast de ostiones uff,https://www.google.com/maps/place/ACRE/data=!4m2!3m1!1s0x4876111056f8d687:0xa5f8696374cee5fb,,,London,visited
The Faltering Fullback,Pub para ver deportes y hay comida thai,https://www.google.com/maps/place/The+Faltering+Fullback/data=!4m2!3m1!1s0x48761b90611aa6a9:0xdbcd51b011b3430c,,,London,visited
Over Under Coffee,,https://www.google.com/maps/place/Over+Under+Coffee/data=!4m2!3m1!1s0x48760f8b68e4904f:0xf4bc8f5e12c977e9,,,London,visited
FILTRD,,https://www.google.com/maps/place/FILTRD/data=!4m2!3m1!1s0x4876053afa7b5da5:0xd6859bfa86f1c7c6,,,London,visited
Eel Sushi Bar,Deli el winter menu! Super calidad,https://www.google.com/maps/place/Eel+Sushi+Bar/data=!4m2!3m1!1s0x487611001bbbe42d:0xd552e77a435971e5,,,London,visited
Story Coffee - Brunch and Cafe,,https://www.google.com/maps/place/Story+Coffee+-+Brunch+and+Cafe/data=!4m2!3m1!1s0x48760f1f3bcc62b9:0xd70f0879442a3cc7,,,London,visited
It's Bagels Notting Hill,,https://www.google.com/maps/place/It's+Bagels+Notting+Hill/data=!4m2!3m1!1s0x48760f629ff54ba5:0xbefb0767cac3af92,,,London,visited
Dove Restaurant,,https://www.google.com/maps/place/Dove+Restaurant/data=!4m2!3m1!1s0x4876118aacddb611:0x12530b5e47bc4324,,,London,visited
Dorian Restaurant,La mejor carne del mundo por mucho,https://www.google.com/maps/place/Dorian+Restaurant/data=!4m2!3m1!1s0x48761165d6785947:0x13c5c116da4ae866,,,London,visited
